"name","other_names","air_dates","air_days","country","duration_mins","episodes","genres","native_name","original_network","mdl_popularity","mdl_rank","mdl_rating","mdl_num_ratings","mdl_tags","mdl_num_watchers"
"Someday or One Day","Some Day Or One Day?,Want to Meet You,Some Day or One Day,想见你","Nov 17, 2019 - Feb 16, 2020","Sunday","Taiwan","72","13","Fantasy,Comedy,Drama,Romance,Mystery","想見你","CTV","1565","55","9.2","621","Love Triangle,Parallel Dimension,Heartbreak,Healing,Second Chance,Youth,Doppelganger,Time Travel,Death,Mental Illness","2642"
"The Gifted","The Gifted Students,The Gifted Series,The Gifted นักเรียนพลังกิฟต์","Aug  5, 2018 - Nov  4, 2018","Sunday","Thailand","55","13","Suspense,School,Fantasy,Friendship,Sci-Fi,Youth,Thriller,Supernatural","นักเรียนพลังกิฟต์","GMM One","974","58","9.1","1490","Super Powers,Child Abuse,Adapted From A Novel,Corruption,Multiple Mains","4222"
"Goblin","Dokkaebi,The Lonely,Shining Goblin,Guardian: The Lonely and Great God,Great God Who Falls in Love,쓸쓸하고 찬란하神-도깨비,Sseulsseulhago Chalranhashin-Dokkaebi,Goblin: The Story of an Eternal","Dec  2, 2016 - Jan 21, 2017","Saturday,Friday","South Korea","82","16","Romance,Melodrama,Comedy,Supernatural","도깨비","tvN","2","59","9.0","39804","Fate,Grim Reaper,Bromance,Dokkaebi,Rich Man/Poor Woman,Older Man/Younger Woman,Age Gap,Secondary Couple,Soulmates,Interspecies Romance","66898"
"The Untamed Special Edition","The Untamed Special Cut","Dec 25, 2019 - Feb  4, 2020","Wednesday,Thursday,Tuesday","China","60","20","Fantasy,Adventure,Friendship,Action,Mystery,Historical,Wuxia","陈情令特別剪辑版","Tencent Video","2428","60","9.3","453","Calm Male Lead,Hidden Identity,Bromance,Adapted From A Novel,Tragic Past,Smart Male Lead,Funny Male Lead,Cold Male Lead,Xianxia,Censored Romance","1542"
"Reply 1988","Contéstame 1988,Eungdabhara 1988,Respond To 1988,Answer To 1988,Answer Me 1988,Respond 1988","Nov  6, 2015 - Jan 16, 2016","Saturday,Friday","South Korea","100","20","Comedy,Friendship,Life,Romance,Youth,Family","응답하라 1988","tvN","68","61","9.0","12963","Neighbours,Sweet Second Male Lead,Bromance,Childhood Friends,Poor Female Lead,Single Mother,High School,Love Triangle,Multiple Couples,Slice Of Life","27969"
"Life on Mars","Raipeu On Maseu,Life on Mars Korea,Laipeu On Maseu","Jun  9, 2018 - Aug  5, 2018","Saturday,Sunday","South Korea","65","16","Suspense,Comedy,Action,Psychological,Drama,Detective,Investigation,Mystery,Supernatural","라이프 온 마스","OCN","357","68","9.0","4200","Calm Male Lead,Father-Son Relationship,Bromance,Police Officer,Western Series Remake,Slight Romance,Smart Male Lead,1980s,Police Procedural,Strong Female Lead","10422"
"Mr. Sunshine","Mister Sunshine,Miseuteo Shunshain","Jul  7, 2018 - Sep 30, 2018","Saturday,Sunday","South Korea","80","24","Tragedy,Action,Romance,War,Military,Historical","미스터 션샤인","tvN,Netflix","189","69","8.9","6047","Bromance,Soldier,Independent Female Lead,Strong Male Lead,Humour,Pre-produced,Smart Male Lead,Multi-lingual,Foreigner,Strong Female Lead","15974"
"Six Flying Dragons","Yookryongi Nareushya,Roots of the Throne,Yookryongi Nareusha,Yukryongi Nareusya","Oct  5, 2015 - Mar 22, 2016","Monday,Tuesday","South Korea","60","50","Martial Arts,Tragedy,Friendship,Action,Psychological,Drama,Romance,Military,Thriller,Historical","육룡이 나르샤","SBS","281","73","8.9","3674","Ambition,Morally Ambiguous Lead,Bromance,Political,Aggressive Male Lead,Political Intrigue,Scheme,Revolution,Sword-fight,Power Struggle","12542"
"Dear My Friends","Dieo Mai Peurenjeu,My Dear Friend","May 13, 2016 - Jul  2, 2016","Saturday,Friday","South Korea","70","16","Friendship,Life,Drama,Melodrama,Family","디어 마이 프렌즈","tvN","762","75","9.0","1479","Life Lesson,Best Friends,Senior Citizen,Single Mother,Mother-Son Relationship,Family Conflict,Mother-Daughter Relationship,Female Centered Plot,Multiple Couples,Abusive Relationship","5366"
"The Story of Ming Lan","海棠依旧,知否知否應是綠肥紅瘦,Concubine's Daughter: Biography of Ming Lan,庶女明兰传,red and thin,知否？知否？应是绿肥红瘦,Know whether it should be green,Do You Know? It Ought To Be a Wilting Flower Amongst The Lush Leaves,Don’t you know? The green should be plump and the red lean by","Dec 25, 2018 - Feb 13, 2019","Saturday,Friday,Monday,Sunday,Thursday,Wednesday,Tuesday","China","45","73","Comedy,Political,Drama,Romance,Historical","知否知否应是绿肥红瘦","Hunan TV","699","76","9.0","2196","Male Chases Female First,Smart Female Lead,Adapted From A Novel,Revenge,Grandma-Granddaughter Relationship,Smart Male Lead,Evil Mother-in-law,Strong Male Lead,Strong Female Lead,Calm Female Lead","5764"
"Weightlifting Fairy Kim Bok Joo","Kim Bokjoo,Weightlifting Fairy Kim Bok-ju,Weightlifting Fairy,Yeokdoyojung Kimbokjoo","Nov 16, 2016 - Jan 11, 2017","Wednesday,Thursday","South Korea","60","16","School,Comedy,Friendship,Youth,Romance,Sports","역도요정 김복주","MBC","12","83","8.9","33774","Ex-girlfriend Comes Back,Male Chases Female First,Dream,Nice Male Lead,Tomboy,Woman Loves Eating,Sismance,Bantering Relationship,Friends To Lovers,College Life","54209"
"HIStory3: Trapped","HIStory 3: Quan Tao,The Trap","Apr 16, 2019 - Jun 12, 2019","Wednesday,Tuesday","Taiwan","25","20","Comedy,Friendship,Action,Investigation,Romance,Mystery,Thriller,Crime","HIStory 3 - 圈套","CHOCO TV,LINE TV","478","84","8.9","4827","Hate To Love,Gay Character,Police Officer,Gangster,Revenge,Enemies To Lovers,LGBTQ+,Bisexual Character,Multiple Couples,Gay Relationship","8003"
"Defendant","Pigoin,Innocent Defendant ‎","Jan 23, 2017 - Mar 21, 2017","Monday,Tuesday","South Korea","70","18","Suspense,Law,Drama,Mystery,Thriller","피고인","SBS","228","88","8.9","6041","Secret Crush,Flashback To Past,Law Firm,Hatred,Greed,Friends To Enemies,Prisoner,Car Accident,Mistake,Competent Protagonist","14518"
"Chicago Typewriter","Sikago Tajagi","Apr  7, 2017 - Jun  3, 2017","Saturday,Friday","South Korea","70","16","Comedy,Friendship,Political,Romance,Mystery,Supernatural","시카고 타자기","tvN","121","89","8.9","9005","Reincarnation,Bromance,Writer,Japanese Colonial Rule,Character Development,Strong Friendship,Time Travel,Rebellion,Soulmates,Strong Female Lead","20065"
"Kill Me, Heal Me","KMHM,Kilmihilmi","Jan  7, 2015 - Mar 12, 2015","Wednesday,Thursday","South Korea","62","20","Psychological,Romance,Drama,Comedy","킬미힐미","MBC","16","90","8.9","26300","Psychiatry,Nice Male Lead,Dissociative Identity Disorder,Heir,Rich Man/Poor Woman,Boss/Employee Relationship,Psychiatrist,Mental Health,Trauma,Rich Male Lead","49108"
"The Guest","Hand: The Guest,Son: The Guest,手: 客人","Sep 12, 2018 - Nov  1, 2018","Wednesday,Thursday","South Korea","65","16","Horror,Investigation,Detective,Mystery,Thriller,Supernatural","손: The Guest","OCN","429","95","8.9","3382","Psychic,Exorcism,Teamwork,Hot-tempered Male Lead,Shamanism,Strong Friendship,Demon,Death,Strong Female Lead,Priest","8817"
"Itaewon Class","Itaewon Keullasseu","Jan 31, 2020 - Mar 21, 2020","Saturday,Friday","South Korea","70","16","Business,Friendship,Food,Life,Drama,Romance,Youth","이태원 클라쓰","Netflix,jTBC","461","99","8.9","1249","Death Of A Parent,Nice Male Lead,Smart Female Lead,Adapted From A Webtoon,Orphan Male Lead,Restaurant,Boss/Employee Relationship,Revenge,Tough Male Lead,Strong Female Lead","8245"
"The Fiery Priest","Passionate Priest,Hot Blooded Priest,Yeolhyeolsaje,Enthusiastic Priest","Feb 15, 2019 - Apr 20, 2019","Saturday,Friday","South Korea","35","40","Comedy,Friendship,Action,Law,Drama,Detective,Investigation,Mystery,Crime","열혈사제","SBS","688","96","8.9","2299","Badass Male Lead,Church,Bromance,Attempted Murder,Gangster,Eccentric Male Lead,Impulsive Female Lead,Aggressive Male Lead,Murder,Priest","5840"
"Live","Laibeu,Raibeu","Mar 10, 2018 - May  6, 2018","Saturday,Sunday","South Korea","70","18","Friendship,Action,Life,Romance,Detective,Mystery","라이브","tvN,Netflix","436","100","8.9","3412","Drinking,Violence,Secret Crush,Police,Team Work,Police Officer,Gun Violence,Strong Friendship,Policewoman,Strong Female Lead","8597"
"Incomplete Life","Misaeng","Oct 17, 2014 - Dec 20, 2014","Saturday,Friday","South Korea","80","20","Life,Business,Drama,Friendship","미생","tvN","197","109","8.8","6106","Nice Male Lead,Office Worker,Team Work,Adapted From A Webtoon,Smart Female Lead,Tough Female Lead,Workplace Abuse,Workplace,Hardworking Female Lead,Strong Female Lead","15506"
"Hanzawa Naoki","","Jul  7, 2013 - Sep 22, 2013","Sunday","Japan","54","10","Suspense,Business,Drama","半沢直樹","TBS","814","111","8.9","1765","Office Worker,Adapted From A Novel,Ikeido Jun,Corruption,Bank,Idol Actor,Hey! Say! Jump,Nikkan Daily Sports Drama GP","5014"
"Story of Yanxi Palace","The Story of Yanxi Palace,Yanxi Gonglue,Yan Xi's conquest,The Tale of Yanxi Palace","Jul 19, 2018 - Aug 26, 2018","Saturday,Friday,Monday,Sunday,Thursday,Wednesday,Tuesday","China","45","70","Comedy,Psychological,Drama,Romance,Historical","延禧攻略","iQiyi","972","113","8.9","2034","Harem,Obsession,Sismance,Older Man/Younger Woman,Qianlong Emperor,Revenge,Age Gap,Betrayal,Strong Female Lead,Qing Dynasty","4226"
"Romantic Doctor, Teacher Kim 2","The Romantic Doctor 2,Romantic Doctor Kim 2,Doctor Romantic 2,Dr. Romantic 2,Nangmandakteo Kimsaboo 2,Good Things Get Better 2","Jan  6, 2020 - Feb 25, 2020","Monday,Tuesday","South Korea","70","16","Drama,Romance,Medical,Melodrama","낭만닥터 김사부2","SBS","641","114","8.8","2279","Teamwork,Love–Hate Relationship,Smart Female Lead,Hospital,Multiple Mains,Smart Male Lead,Nurse,Doctor,Trauma,Nervous Female Lead","6166"
"TharnType","TharnType: The Series,TharnType S","Oct  7, 2019 - Jan  6, 2020","Monday","Thailand","50","12","School,Friendship,Drama,Romance,Family","Tharn Type The Series เกลียดนักมาเป็นที่รักกันซะดีๆ","GMM One","544","115","8.8","4390","Steamy Kiss,Gay Character,Adapted From A Novel,Friends With Benefits,Roommate,Tragic Past,Enemies To Lovers,LGBTQ+,College Life,Gay Relationship","7213"
"Project S: Skate Our Souls",",Skate Our Souls","Sep  9, 2017 - Nov 25, 2017","Saturday","Thailand","45","8","Youth,Sports,Melodrama,Friendship","โปรเจกต์ เอส เดอะซีรีส์: SOS","GMM 25","2424","116","9.0","594","Suicide,Depression,Bromance,Self-harm,Single Parent,High School,Student,Psychology,College Life","1547"
"Ashes of Love","Xiang Mi Chen Chen Jin Ru Shuang,香蜜沉沉燼如霜,Heavy Sweetness,Ash-like Frost,The Honey Sank Like Frost","Aug  2, 2018 - Sep  4, 2018","Saturday,Friday,Monday,Sunday,Thursday,Wednesday,Tuesday","China","45","63","Fantasy,Comedy,Friendship,Drama,Romance,Melodrama,Historical,Wuxia,Supernatural","香蜜沉沉烬如霜","Youku,iQiyi,Tencent Video,JSTV","301","117","8.8","5587","Obsessive Second Lead,Male Chases Female First,Naive Female Lead,Tearjerker,Adapted From A Novel,Obsession,Sibling Rivalry,Deity,Xianxia,Love Triangle","12104"
"Children of Nobody","Beuleundal Peureunhae,Blue Sea,Blue Sun,赤月青日,bulk-eun-dal pu-reun-hae,Red Moon","Nov 21, 2018 - Jan 16, 2019","Wednesday,Thursday","South Korea","35","32","Psychological,Drama,Detective,Investigation,Mystery,Thriller,Crime","붉은달 푸른해","MBC","671","120","8.8","2076","Abuse,Child Behavior Issues,Child Abuse,Smart Female Lead,Tragic Past,Domestic Violence,Orphan,Trauma,Murder,Strong Female Lead","5934"
"Hotel del Luna","Hotel Delluna","Jul 13, 2019 - Sep  1, 2019","Saturday,Sunday","South Korea","80","16","Suspense,Fantasy,Comedy,Horror,Action,Drama,Romance,Mystery,Supernatural","호텔 델루나","tvN","84","121","8.8","12571","Hotel,Nice Male Lead,Older Woman/Younger Man,Ghost-seeing Male Lead,Ghost,Warm Man/cold Woman,Boss/Employee Relationship,Immortal,Strong Female Lead,Calm Female Lead","25160"
"Tunnel","Teoneol","Mar 25, 2017 - May 21, 2017","Saturday,Sunday","South Korea","60","16","Suspense,Psychological,Sci-Fi,Detective,Investigation,Mystery,Thriller,Crime,Supernatural","터널","OCN","185","123","8.8","7520","Smart Protagonist,Bromance,Hwaseong Serial Murders,Attempted Assault,Stoic Characters,Tragic Past,Time Travel,Serial Killer,Strong Female Lead,Calm Female Lead","16121"
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land","Part 2: The Sky Turning Inside Out,Awakening Earth,Arthdal Chronicles: Season 2,Aseudal,Part,Rising Land,The Chronicles of Aseudal,Asdal Chronicles,The Asdal Chronicles,The Chronicles of Arthdal,Part 2: Overturned Sky,Aseudal Yeondaegi,Asadal Chronicles","Jun 22, 2019 - Jul  7, 2019","Saturday,Sunday","South Korea","81","6","Fantasy,Political,Drama,Romance,Historical","아스달 연대기 Part 2 뒤집히는 하늘, 일어나는 땅","tvN,Netflix","635","125","8.8","3418","Murder Plan,Conspiracy,Dance,Attempted Murder,Pre-produced,Multiple Mains,War,Ambitious Lead,Strong Female Lead,Power Struggle","6257"
"While You Were Sleeping","Dangshini Jamdeun Saie","Sep 27, 2017 - Nov 16, 2017","Wednesday,Thursday","South Korea","30","32","Fantasy,Comedy,Friendship,Law,Drama,Romance,Investigation,Thriller,Crime,Supernatural","당신이 잠든 사이에","SBS","20","128","8.8","24157","Childhood Acquaintance,Neighbours,Nice Male Lead,Precognition,Tragic Past,Prosecutor,Smart Male Lead,Love Triangle,Murder,Strong Female Lead","44652"
"Descendants of the Sun","Taeyangeui Huye,The Sun's Descendants,Taeyangui Huye","Feb 24, 2016 - Apr 14, 2016","Wednesday,Thursday","South Korea","60","16","Medical,Comedy,Action,Romance,Melodrama,Military","태양의 후예","KBS2","5","129","8.8","35334","Male Chases Female First,Confident Man,Bromance,Soldier,Charming Male Lead,Second Chance,Filmed Abroad,Doctor,Multiple Couples,Strong Female Lead","60429"
"It's Okay, That's Love","It's Love,It's Alright This is Love,This is Love,Sarangiya,It's Okay,Gwaenchanha,Gwaenchana,It's Ok","Jul 23, 2014 - Sep 11, 2014","Wednesday,Thursday","South Korea","60","16","Medical,Comedy,Friendship,Psychological,Drama,Romance,Melodrama","괜찮아, 사랑이야","SBS","23","130","8.8","23566","Psychiatry,Male Chases Female First,Writer,Cohabitation,Healing,Charming Male Lead,Housemate,Mental Health,Trauma,Strong Female Lead","42989"
"The Bridal Mask","Bridal Mask,Doll Mask,Gaksital","May 30, 2012 - Sep  6, 2012","Wednesday,Thursday","South Korea","65","28","Tragedy,Political,Action,Drama,Investigation,Romance,Historical","각시탈","KBS2","116","136","8.8","8623","Love Triangle,First Love,Hidden Identity,Hate To Love,Vigilante,Police,Adapted From A Manhwa,Japanese Colonial Rule,Revenge,Rebellion","20761"
"Avengers Social Club","Buamdong Revengers,부암동 복수자 소셜클럽,Buam-dong Avenger Social Club,Buamdong Revenge Social Club,Buamdong Boksoojadeul,Buam-dong Revenge Social Club,Bogsuja Sosyeolkeulleob,Buam-dong Revengers","Oct 11, 2017 - Nov 16, 2017","Wednesday,Thursday","South Korea","60","12","Comedy,Friendship,Life,Drama,Family","부암동 복수자들","tvN","547","140","8.8","3011","Strong Female Characters,Healing,Sismance,Mother-Son Relationship,Revenge,Tragic Past,Smart Male Lead,Family Drama,Mother-Daughter Relationship,Strong Female Lead","7195"
"Sotus","Sotus The Series P with Mr. Waugh bad one","Aug 20, 2016 - Jan  7, 2017","Saturday","Thailand","45","15","School,Comedy,Friendship,Drama,Youth,Romance","Sotus the Series พี่ว้ากตัวร้ายกับนายปีหนึ่ง","GMM One","316","141","8.8","7672","Cold Man/Warm Man,Adapted From A Novel,Gay Character,Enemies To Lovers,Bisexual Character,LGBTQ+,College Life,Hazing,Multiple Couples,Gay Relationship","11645"
"Age of Youth","My Twenties!,Youth Age,Hello,Chungchoonshidae,Belle Epoque,Cheongchunshidae","Jul 22, 2016 - Aug 27, 2016","Saturday,Friday","South Korea","60","12","Comedy,Friendship,Life,Drama,Romance,Youth,Mystery","청춘시대","jTBC","74","144","8.8","15230","Strong Female Characters,Sismance,Housemate,Coming Of Age,Multiple Mains,College Life,Female Centered Plot,Multiple Couples,Strong Female Lead,Abusive Relationship","27004"
"HIStory2: Boundary Crossing","HIStory2: Yue Jie,HIStory2-Crossing the Line,HIStory2-Love Over the Line","Mar  6, 2018 - Mar 28, 2018","Wednesday,Tuesday","Taiwan","25","8","School,Friendship,Youth,Romance,Sports","HIStory2-越界","CHOCO TV","455","146","8.8","5714","Volleyball,Steamy Kiss,Gay Character,Obsession,High School,Step-siblings Love,LGBTQ+,Web Series,Miniseries,Gay Relationship","8302"
"Mother","Mazā,Mazâ","Apr 14, 2010 - Jun 23, 2010","Wednesday","Japan","45","11","Suspense,Drama,Family","マザー","NTV","528","150","8.8","1968","Child Abuse,Teacher,Alzheimer's Disease,Kidnapping,Amnesia,Motherhood,Adoption","7383"
"Partners for Justice 2","Gumbeobnamnyeo 2,Investigation Partners Season 2,Investigation Couple Season 2","Jun  3, 2019 - Jul 29, 2019","Monday,Tuesday","South Korea","35","32","Medical,Law,Investigation,Drama,Mystery","검법남녀 시즌2","MBC","1837","152","8.8","930","Forensic Science,Prosecutor,Rich Female Lead,Doctor","2187"
"Unnatural","Unnatural Death,Annachuraru","Jan 12, 2018 - Mar 16, 2018","Friday","Japan","45","10","Suspense,Investigation,Medical,Mystery","アンナチュラル","TBS","1180","154","8.8","1410","Smart Female Lead,Police Procedural,Forensic,Strong Female Lead","3548"
"Kingdom","Kingdeom","Jan 25, 2019","Friday","South Korea","51","6","Suspense,Horror,Political,Action,Thriller,Historical,Zombies","킹덤","Netflix","353","158","8.8","5503","King,Joseon Dynasty,Adapted From A Webtoon,Evil Queen,Corruption,Power Struggle,Doctor,Death,Strong Male Lead,Gore","10590"
"You Who Came from the Stars",",별에서 온 남자,My Lover From The Stars,My Love from the Star,Tú,You Came From the Stars,My Love from Another Star,Byeoleseo On Namja,Byeoleseo On Geudae,You From Another Star,Man From Another Star,Man From The Stars,Mi amor de las,que viniste de las estrellas","Dec 18, 2013 - Feb 27, 2014","Wednesday,Thursday","South Korea","58","21","Comedy,Drama,Romance,Melodrama,Supernatural","별에서 온 그대","SBS","3","162","8.7","39004","Superhuman Strength,Sassy Female Lead,Steamy Kiss,Celebrity,Famous Actress,Time Manipulation,Interspecies Romance,Female Chases Male First,Special Power,Star Crossed Lovers","63245"
"Strangers from Hell","Others Are Hell,Hell Is Other People,Taineun Jiokida,Taineun Jiogida","Aug 31, 2019 - Oct  6, 2019","Saturday,Sunday","South Korea","60","10","Horror,Psychological,Drama,Mystery,Thriller","타인은 지옥이다","OCN","502","161","8.8","2711","Gaslighting,Murder,PTSD,Adapted From A Webtoon,Hot-tempered Male Lead,Obsession,Dark Plot,Workplace Abuse,Hostel,Mental Illness","7708"
"Eulachacha Waikiki","Welcome to Waikiki,Laughter in Waikiki,Go Go Waikiki","Feb  5, 2018 - Apr 17, 2018","Monday,Tuesday","South Korea","65","20","Comedy,Friendship,Life,Drama,Romance,Youth","으라차차 와이키키","jTBC","144","163","8.7","8738","Funny Character,Bromance,Cohabitation,Single Mother,Single Parent,Housemate,Babysitting,Friends To Lovers,Secondary Couple,Motherhood","18437"
"Just Between Lovers","Just Lovers,Rain or Shine,Just In Love,Geunyang Saranghaneun Sai","Dec 11, 2017 - Jan 30, 2018","Monday,Tuesday","South Korea","73","16","Psychological,Romance,Melodrama","그냥 사랑하는 사이","jTBC","79","164","8.7","11899","Tearjerker,Nice Male Lead,Slow Burn Romance,Poor Male Lead,Poor Female Lead,Hardworking Male Lead,Tragic Past,Trauma,Hardworking Female Lead,Strong Male Lead","26233"
"Battle of Changsha","战长沙","Mar  8, 2014 - Mar 19, 2014","Tuesday","China","45","32","Tragedy,Family,Life,Romance,War,Military,Historical","戰長沙","BTV","1154","166","8.8","1046","Tearjerker,World War 2,Adapted From A Novel,Siblings Relationship,Soldier,Older Man/Younger Woman,Age Gap,Siblinghood,Death,Sino-japanese War","3630"
"The Master's Sun","The Sun of My Master,The Sun Of The Lord,Master's Sun","Aug  7, 2013 - Oct  3, 2013","Wednesday,Thursday","South Korea","62","17","Comedy,Horror,Psychological,Drama,Romance,Melodrama,Supernatural","주군의 태양","SBS","17","165","8.7","29110","Heir,Obsession,Ghost,Arrogant Male Lead,Clingy Female Lead,Secondary Couple,Successful Male Lead,Trauma,Eccentric Female Lead,Rich Male Lead","47144"
"My Father is Strange","Father is Strange,Abeojiga Isanghae","Mar  4, 2017 - Aug 27, 2017","Saturday,Sunday","South Korea","66","52","Drama,Romance,Family,Comedy","아버지가 이상해","KBS2","295","167","8.7","5171","Father-Son Relationship,Sisterhood,Mother-Son Relationship,Family Secret,Sibling,Huge Family,Evil Mother-in-law,Fake Incest,Eccentric Female Lead,Strong Female Lead","12194"
"Reply 1997","Respond To 1997,Eungdabhara 1997,Answer To 1997,Contéstame 1997,Answer Me 1997,Respond 1997","Jul 24, 2012 - Sep 18, 2012","Tuesday","South Korea","60","16","School,Comedy,Friendship,Life,Romance,Youth,Family","응답하라 1997","tvN","25","168","8.7","23361","1990s,First Love,Male Chases Female First,Best Friends,Father-Daughter Relationship,Childhood Friends,High School,Friends To Lovers,Strong Friendship,Mother-Daughter Relationship","42113"
