"name","other_names","air_dates","air_days","country","duration","episodes","genres","native_name","original_network","mdl_popularity","mdl_rank","mdl_num_reviews","mdl_rating","mdl_num_ratings","mdl_tags","mdl_num_watchers","db_rating","db_num_ratings","image_path"
"The Fiery Priest","Yeolhyeolsaje ,  Hot Blooded Priest ,  Enthusiastic Priest ,  Passionate Priest","Feb 15, 2019 - Apr 20, 2019","Friday, Saturday","South Korea","35 min.","40","Action,  Friendship,  Mystery,  Comedy,  Law,  Crime,  Drama,  Detective,  Investigation","열혈사제","SBS","#688","#96","18 users","8.9","2299","Badass Male Lead, Eccentric Male Lead, Aggressive Male Lead, Bromance, Church, Priest, Gangster, Murder, Impulsive Female Lead, Attempted Murder (Vote or add tags)","5,840","8.1","1718","the-fiery-priest.jpg"
"Live","Laibeu ,  Raibeu","Mar 10, 2018 - May  6, 2018","Saturday, Sunday","South Korea","1 hr. 10 min.","18","Action,  Friendship,  Mystery,  Romance,  Life,  Detective","라이브","tvN,  Netflix,  Netflix,  Netflix,  Netflix","#436","#100","31 users","8.9","3412","Strong Friendship, Police Officer, Police, Team Work, Strong Female Lead, Violence, Policewoman, Gun Violence, Drinking, Secret Crush (Vote or add tags)","8,597","9.2","41473","live.jpg"
"Incomplete Life","Misaeng","Oct 17, 2014 - Dec 20, 2014","Friday, Saturday","South Korea","1 hr. 20 min.","20","Friendship,  Business,  Life,  Drama","미생","tvN","#197","#109","46 users","8.8","6106","Office Worker, Workplace Abuse, Team Work, Adapted From A Webtoon, Hardworking Female Lead, Smart Female Lead, Workplace, Strong Female Lead, Nice Male Lead, Tough Female Lead (Vote or add tags)","15,506","9.3","63206","incomplete-life.jpg"
"Hanzawa Naoki","","Jul  7, 2013 - Sep 22, 2013","Sunday","Japan","54 min.","10","Suspense,  Business,  Drama","半沢直樹","TBS","#814","#111","6 users","8.9","1765","Adapted From A Novel, Ikeido Jun, Bank, Office Worker, Nikkan Daily Sports Drama GP, Hey! Say! Jump, Corruption, Idol Actor (Vote or add tags)","5,014","9.2","161320","hanzawa-naoki.jpg"
"Story of Yanxi Palace","The Story of Yanxi Palace ,  Yanxi Gonglue ,  Yan Xi's conquest ,  The Tale of Yanxi Palace","Jul 19, 2018 - Aug 26, 2018","Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, Monday","China","45 min.","70","Historical,  Psychological,  Comedy,  Romance,  Drama","延禧攻略","iQiyi,  iQiyi","#972","#113","27 users","8.9","2034","Qing Dynasty, Qianlong Emperor, Revenge, Sismance, Age Gap, Strong Female Lead, Harem, Obsession, Older Man/Younger Woman, Betrayal (Vote or add tags)","4,226","7.2","290475","story-of-yanxi-palace.jpg"
"Romantic Doctor, Teacher Kim 2","Romantic Doctor Kim 2 ,  Dr. Romantic 2 ,  Doctor Romantic 2 ,  Nangmandakteo Kimsaboo 2 ,  Good Things Get Better 2 ,  The Romantic Doctor 2","Jan  6, 2020 - Feb 25, 2020","Monday, Tuesday","South Korea","1 hr. 10 min.","16","Romance,  Drama,  Medical,  Melodrama","낭만닥터 김사부2","SBS","#641","#114","22 users","8.8","2279","Doctor, Hospital, Smart Male Lead, Smart Female Lead, Nurse, Teamwork, Love–Hate Relationship, Nervous Female Lead, Multiple Mains, Trauma (Vote or add tags)","6,166","8.4","11017","romantic-doctor-teacher-kim-2.jpg"
"TharnType","TharnType S ,  TharnType: The Series","Oct  7, 2019 - Jan  6, 2020","Monday","Thailand","50 min.","12","Friendship,  Romance,  School,  Drama,  Family","Tharn Type The Series เกลียดนักมาเป็นที่รักกันซะดีๆ","GMM One","#544","#115","75 users","8.8","4390","Gay Character, Gay Relationship, LGBTQ+, Roommate, Steamy Kiss, Adapted From A Novel, Enemies To Lovers, Tragic Past, College Life, Friends With Benefits (Vote or add tags)","7,213","8.4","6216","tharntype.jpg"
"Project S: Skate Our Souls","Skate Our Souls ,","Sep  9, 2017 - Nov 25, 2017","Saturday","Thailand","45 min.","8","Friendship,  Youth,  Sports,  Melodrama","โปรเจกต์ เอส เดอะซีรีส์: SOS","GMM 25","#2424","#116","9 users","9.0","594","Psychology, Depression, Single Parent, Self-harm, High School, Student, College Life, Suicide, Bromance (Vote or add tags)","1,547","9.3","1603","project-s-skate-our-souls.jpg"
"Ashes of Love","Xiang Mi Chen Chen Jin Ru Shuang ,  Heavy Sweetness, Ash-like Frost ,  香蜜沉沉燼如霜 ,  The Honey Sank Like Frost","Aug  2, 2018 - Sep  4, 2018","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","China","45 min.","63","Friendship,  Historical,  Comedy,  Romance,  Wuxia,  Drama,  Fantasy,  Melodrama,  Supernatural","香蜜沉沉烬如霜","JSTV,  Tencent Video,  iQiyi,  Youku,  iQiyi","#301","#117","149 users","8.8","5587","Love Triangle, Tearjerker, Naive Female Lead, Sibling Rivalry, Deity, Male Chases Female First, Adapted From A Novel, Obsession, Obsessive Second Lead, Xianxia (Vote or add tags)","12,104","7.7","287192","ashes-of-love.jpg"
"Children of Nobody","Beuleundal Peureunhae ,  Red Moon, Blue Sea ,  Red Moon, Blue Sun ,  赤月青日 ,  bulk-eun-dal pu-reun-hae","Nov 21, 2018 - Jan 16, 2019","Wednesday, Thursday","South Korea","35 min.","32","Thriller,  Mystery,  Psychological,  Crime,  Drama,  Detective,  Investigation","붉은달 푸른해","MBC","#671","#120","16 users","8.8","2076","Smart Female Lead, Trauma, Child Abuse, Child Behavior Issues, Abuse, Strong Female Lead, Murder, Domestic Violence, Orphan, Tragic Past (Vote or add tags)","5,934","8.5","4463","children-of-nobody.jpg"
"Hotel del Luna","Hotel Delluna","Jul 13, 2019 - Sep  1, 2019","Saturday, Sunday","South Korea","1 hr. 20 min.","16","Action,  Suspense,  Mystery,  Horror,  Comedy,  Romance,  Drama,  Fantasy,  Supernatural","호텔 델루나","tvN","#84","#121","109 users","8.8","12571","Ghost-seeing Male Lead, Boss/Employee Relationship, Strong Female Lead, Ghost, Nice Male Lead, Older Woman/Younger Man, Immortal, Warm Man/cold Woman, Hotel, Calm Female Lead (Vote or add tags)","25,160","8","90398","hotel-del-luna.jpg"
"Tunnel","Teoneol","Mar 25, 2017 - May 21, 2017","Saturday, Sunday","South Korea","60 min.","16","Suspense,  Thriller,  Mystery,  Psychological,  Crime,  Sci-Fi,  Supernatural,  Detective,  Investigation","터널","OCN","#185","#123","32 users","8.8","7520","Time Travel, Serial Killer, Calm Female Lead, Strong Female Lead, Tragic Past, Hwaseong Serial Murders, Bromance, Stoic Characters, Smart Protagonist, Attempted Assault (Vote or add tags)","16,121","8.1","6556","tunnel.jpg"
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land","Aseudal ,  Asadal Chronicles ,  The Asdal Chronicles ,  Asdal Chronicles ,  Aseudal Yeondaegi ,  The Chronicles of Aseudal ,  The Chronicles of Arthdal ,  Part 2: Overturned Sky, Awakening Earth ,  Part 2: The Sky Turning Inside Out, Rising Land ,  Arthdal Chronicles: Season 2 ,  Part","Jun 22, 2019 - Jul  7, 2019","Saturday, Sunday","South Korea","1 hr. 21 min.","6","Historical,  Romance,  Drama,  Fantasy,  Political","아스달 연대기 Part 2 뒤집히는 하늘, 일어나는 땅","tvN,  Netflix,  Netflix,  Netflix,  Netflix","#635","#125","9 users","8.8","3418","War, Ambitious Lead, Murder Plan, Attempted Murder, Power Struggle, Multiple Mains, Conspiracy, Pre-produced, Strong Female Lead, Dance (Vote or add tags)","6,257","7.3","6279","arthdal-chronicles-part-2-the-sky-turning-inside-out-rising-land.jpg"
"While You Were Sleeping","Dangshini Jamdeun Saie","Sep 27, 2017 - Nov 16, 2017","Wednesday, Thursday","South Korea","30 min.","32","Friendship,  Thriller,  Comedy,  Law,  Romance,  Crime,  Drama,  Fantasy,  Supernatural,  Investigation","당신이 잠든 사이에","SBS","#20","#128","102 users","8.8","24157","Precognition, Neighbours, Prosecutor, Strong Female Lead, Nice Male Lead, Tragic Past, Murder, Childhood Acquaintance, Love Triangle, Smart Male Lead (Vote or add tags)","44,652","8.2","81081","while-you-were-sleeping.jpg"
"Descendants of the Sun","Taeyangeui Huye ,  The Sun's Descendants ,  Taeyangui Huye","Feb 24, 2016 - Apr 14, 2016","Wednesday, Thursday","South Korea","60 min.","16","Action,  Military,  Comedy,  Romance,  Medical,  Melodrama","태양의 후예","KBS2","#5","#129","158 users","8.8","35334","Soldier, Bromance, Multiple Couples, Charming Male Lead, Strong Female Lead, Filmed Abroad, Doctor, Male Chases Female First, Confident Man, Second Chance (Vote or add tags)","60,429","7.9","171966","descendants-of-the-sun.jpg"
"It's Okay, That's Love","Gwaenchana ,  Sarangiya ,  It's Okay, It's Love ,  It's Alright This is Love ,  Gwaenchanha, Sarangiya ,  It's Ok, This is Love","Jul 23, 2014 - Sep 11, 2014","Wednesday, Thursday","South Korea","60 min.","16","Friendship,  Psychological,  Comedy,  Romance,  Drama,  Medical,  Melodrama","괜찮아, 사랑이야","SBS","#23","#130","147 users","8.8","23566","Trauma, Psychiatry, Mental Health, Charming Male Lead, Strong Female Lead, Housemate, Writer, Cohabitation, Male Chases Female First, Healing (Vote or add tags)","42,989","8.7","101107","its-okay-thats-love.jpg"
"The Bridal Mask","Gaksital  ,   Bridal Mask  ,   Doll Mask","May 30, 2012 - Sep  6, 2012","Wednesday, Thursday","South Korea","1 hr. 5 min.","28","Action,  Historical,  Romance,  Drama,  Tragedy,  Political,  Investigation","각시탈","KBS2","#116","#136","91 users","8.8","8623","Hidden Identity, Japanese Colonial Rule, Adapted From A Manhwa, Revenge, Vigilante, Rebellion, Hate To Love, Police, First Love, Love Triangle (Vote or add tags)","20,761","8","1658","the-bridal-mask.jpg"
"Avengers Social Club","부암동 복수자 소셜클럽 ,  Buamdong Revengers ,  Buam-dong Revenge Social Club ,  Buam-dong Avenger Social Club ,  Buamdong Revenge Social Club ,  Buamdong Boksoojadeul ,  Bogsuja Sosyeolkeulleob ,  Buam-dong Revengers","Oct 11, 2017 - Nov 16, 2017","Wednesday, Thursday","South Korea","60 min.","12","Friendship,  Comedy,  Life,  Drama,  Family","부암동 복수자들","tvN","#547","#140","20 users","8.8","3011","Revenge, Sismance, Strong Female Characters, Healing, Strong Female Lead, Smart Male Lead, Tragic Past, Family Drama, Mother-Son Relationship, Mother-Daughter Relationship (Vote or add tags)","7,195","8.3","26042","avengers-social-club.jpg"
"Sotus","Sotus The Series P with Mr. Waugh bad one","Aug 20, 2016 - Jan  7, 2017","Saturday","Thailand","45 min.","15","Friendship,  Comedy,  Romance,  School,  Youth,  Drama","Sotus the Series พี่ว้ากตัวร้ายกับนายปีหนึ่ง","GMM One","#316","#141","90 users","8.8","7672","Gay Relationship, Gay Character, Adapted From A Novel, Hazing, College Life, Cold Man/Warm Man, Bisexual Character, Multiple Couples, LGBTQ+, Enemies To Lovers (Vote or add tags)","11,645","8.8","22839","sotus.jpg"
